"Associate","Location_Name","Type","Ref_No","Location Ref","Id","Notes","Address","City","State","Postal_Code","Address Country","Region","Country","Alternate Factor Region","Group Level 1","Group Level 2","Group Level 3","Group_Associate","Report_Percent","Effective_From","Effective_To","Group_Type","Latitude","Longitude","ANZSIC Code","Opened On","Closed On"
"Downer","_CLOSED_Labs_Mobile","Other","L9.DNZJ.3524","5076","","Technical Support for Construction activities - New facilities established for more granular reporting and to reflect new structure for FY17. See facility named ""NZ-Infrastructure Services"" for historical data.","397 Mcleans Island Road, Harewood","Christchurch","Canterbury","6035","New Zealand","Christchurch","New Zealand",,"Operational Control","Operational Control","Transport & Infrastructure (T&I)","Downer","100.0000",1899/12/31,,"Classification","-43.4764273","172.516733599999","692",2017/07/01,
"Downer","_CLOSED_Labs_Mt Maunganui","Other","L9.DNZJ.3525","5077","","Technical Support for Construction activities - New facilities established for more granular reporting and to reflect new structure for FY17. See facility named ""NZ-Infrastructure Services"" for historical data.","9 Owens Place, Mt Maunganui","Tauranga","Bay of Plenty","2104","New Zealand","Tauranga","New Zealand",,"Operational Control","Operational Control","Transport & Infrastructure (T&I)","Downer","100.0000",1899/12/31,,"Classification","-37.6782938","176.222364299999","692",2017/07/01,
"Downer","_CLOSED_Labs_Wellington","Other","L9.DNZJ.3522","5078","","Technical Support for Construction activities - New facilities established for more granular reporting and to reflect new structure for FY17. See facility named ""NZ-Infrastructure Services"" for historical data.","Kiwi Point, 137 Centennial Highway, Ngauranga","Wellington","Wellington","7201","New Zealand","Wellington","New Zealand",,"Operational Control","Operational Control","Transport & Infrastructure (T&I)","Downer","100.0000",1899/12/31,,"Classification","-41.237631","174.805085999999","692",2017/07/01,
"Downer","_CLOSED_Lane Cove (DMJV)","Depot","L9.J.17020806","8012","","","166 Epping Road NSW","Lane Cove West","NSW","2066","Australia","New South Wales","Australia",,"Operational Control","Operational Control","Transport & Infrastructure (T&I)","Downer","100.0000",,,"Classification","-33.803952","151.145512","310",,
"Downer","_CLOSED_Laundries_NSW","Industrial","L9.S.13001170","9145","","","NSW","NSW","NSW","","","New South Wales","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Laundries","Downer","100.0000",,2020/06/30,"Classification",,,"953",,
"Downer","_CLOSED_Laundries_QLD","Industrial","L9.S.13900022","9146","","","QLD","QLD","QLD","","","Queensland","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Laundries","Downer","100.0000",,2020/06/30,"Classification",,,"953",,
"Downer","_CLOSED_Laundries_SA","Industrial","L9.S.13900022","9147","","","SA","SA","SA","","","South Australia","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Laundries","Downer","100.0000",,2020/06/30,"Classification",,,"953",,
"Downer","_CLOSED_Laundries_VIC","Industrial","L9.S.13900022","9148","","","VIC","VIC","VIC","","","Victoria","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Laundries","Downer","100.0000",,2020/06/30,"Classification",,,"953",,
"Downer","_CLOSED_Laundries_WA","Industrial","L9.S.13900022","9149","","","WA","WA","WA","","","Western Australia","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Laundries","Downer","100.0000",,2020/06/30,"Classification",,,"953",,
"Downer","_CLOSED_Laundry - Caloundra (QLD)","Branch Office","L9.S.13900022","T4.3082","","Leased - Private","1 Industrial Ave","Caloundra","QLD","4551","","Queensland","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Laundries","Downer","100.0000",,2017/06/30,"Classification",,,"729",,
